playerId,playerName,team,friday_avg,friday_obp,friday_slg,friday_ops,sunday_avg,sunday_obp,sunday_slg,sunday_ops
ID669720,Austin Hays,Cincinnati Reds,0.292,0.325,0.486,0.811,0.357,0.378,0.529,0.907
ID657077,Alex Verdugo,Atlanta Braves,0.237,0.275,0.263,0.538,0.355,0.412,0.387,0.799
ID657557,Paul DeJong,Washington Nationals,0.235,0.278,0.412,0.69,0.354,0.373,0.583,0.956
ID624641,Edmundo Sosa,Philadelphia Phillies,0.176,0.222,0.265,0.487,0.353,0.389,0.559,0.948
ID676801,Chas McCormick,Houston Astros,0.333,0.5,0.333,0.833,0.353,0.389,0.529,0.918
ID656811,Ryan O'Hearn,Baltimore Orioles,0.281,0.397,0.421,0.818,0.35,0.426,0.7,1.126
ID642136,Matt Thaiss,Chicago White Sox,0.083,0.312,0.167,0.479,0.35,0.417,0.6,1.017
ID690924,Braxton Fulford,Colorado Rockies,0.5,0.571,0.833,1.404,0.35,0.386,0.6,0.986
ID664728,Kyle Isbel,Kansas City Royals,0.268,0.284,0.366,0.65,0.348,0.4,0.435,0.835
ID645302,Victor Robles,Seattle Mariners,0.235,0.278,0.412,0.69,0.348,0.375,0.348,0.723
ID456781,Donovan Solano,Seattle Mariners,0.344,0.371,0.469,0.84,0.346,0.37,0.615,0.985
ID663647,Ke'Bryan Hayes,Pittsburgh Pirates,0.143,0.213,0.214,0.427,0.345,0.367,0.379,0.746
ID593428,Xander Bogaerts,San Diego Padres,0.211,0.287,0.25,0.537,0.342,0.418,0.557,0.975
ID676694,Jake Meyers,Houston Astros,0.463,0.508,0.537,1.045,0.34,0.433,0.38,0.813
ID670541,Yordan Alvarez,Houston Astros,0.069,0.147,0.069,0.216,0.333,0.4,0.667,1.067
ID663536,Tristin English,Arizona Diamondbacks,0,0,0,0,0.333,0.333,0.667,1
ID680118,Dairon Blanco,Kansas City Royals,0,0,0,0,0.333,0.333,0.667,1
ID669394,Jake Burger,Texas Rangers,0.227,0.224,0.348,0.572,0.333,0.333,0.625,0.958
ID656541,Sam Hilliard,Colorado Rockies,0.667,0.667,2.333,3,0.333,0.455,0.444,0.899
ID671056,Iván Herrera,St. Louis Cardinals,0.266,0.329,0.453,0.782,0.333,0.42,0.474,0.894
ID694208,Moisés Ballesteros,Chicago Cubs,0.375,0.5,0.625,1.125,0.333,0.5,0.333,0.833
ID668731,Akil Baddoo,Detroit Tigers,0,0,0,0,0.333,0.5,0.333,0.833
ID665750,Leody Taveras,Texas Rangers,0.154,0.214,0.154,0.368,0.333,0.333,0.5,0.833
ID681987,Nate Eaton,Boston Red Sox,0.2,0.294,0.4,0.694,0.333,0.455,0.333,0.788
ID687859,Troy Johnston,Miami Marlins,0.333,0.333,0.5,0.833,0.333,0.391,0.381,0.772
ID606115,Orlando Arcia,Atlanta Braves,0,0,0,0,0.333,0.333,0.333,0.666
ID607732,Jacob Stallings,Baltimore Orioles,0,0,0,0,0.333,0.333,0.333,0.666
ID622534,Manuel Margot,Detroit Tigers,0.5,0.5,0.5,1,0.333,0.333,0.333,0.666
ID572138,Jon Singleton,Houston Astros,0,0,0,0,0.333,0.333,0.333,0.666
ID677060,Chad Stevens,Los Angeles Angels,0,0,0,0,0.333,0.333,0.333,0.666
ID694203,Denzer Guzman,Los Angeles Angels,0.333,0.5,1.333,1.833,0.333,0.333,0.333,0.666
ID621035,Chris Taylor,Los Angeles Dodgers,0.333,0.333,0.333,0.666,0.333,0.333,0.333,0.666
ID664238,Dylan Moore,Texas Rangers,0.333,0.286,0.833,1.119,0.333,0.333,0.333,0.666
ID645305,Ali Sanchez,Toronto Blue Jays,0.25,0.25,0.5,0.75,0.333,0.333,0.333,0.666
ID643396,Isiah Kiner-Falefa,Toronto Blue Jays,0.4,0.4,0.4,0.8,0.333,0.333,0.333,0.666
ID643446,Jeff McNeil,New York Mets,0.258,0.333,0.468,0.801,0.328,0.414,0.557,0.971
ID696285,Jacob Young,Washington Nationals,0.265,0.321,0.286,0.607,0.327,0.407,0.404,0.811
ID678662,Ezequiel Tovar,Colorado Rockies,0.276,0.317,0.466,0.783,0.327,0.351,0.418,0.769
ID686527,Dominic Canzone,Seattle Mariners,0.25,0.314,0.25,0.564,0.326,0.38,0.478,0.858
ID681460,Brooks Baldwin,Chicago White Sox,0.279,0.289,0.488,0.777,0.326,0.383,0.372,0.755
ID657757,Gavin Sheets,San Diego Padres,0.25,0.308,0.417,0.725,0.325,0.365,0.463,0.828
ID805249,Otto Kemp,Philadelphia Phillies,0.258,0.324,0.452,0.776,0.324,0.343,0.618,0.961
ID650402,Gleyber Torres,Detroit Tigers,0.264,0.369,0.414,0.783,0.324,0.463,0.419,0.882
ID676572,Eric Wagaman,Miami Marlins,0.307,0.34,0.455,0.795,0.324,0.358,0.459,0.817
ID683766,Christian Koss,San Francisco Giants,0.375,0.5,0.438,0.938,0.324,0.342,0.405,0.747
ID643565,Mike Tauchman,Chicago White Sox,0.173,0.328,0.308,0.636,0.322,0.412,0.492,0.904
ID677594,Julio Rodríguez,Seattle Mariners,0.266,0.316,0.495,0.811,0.321,0.374,0.5,0.874
ID665487,Fernando Tatis Jr.,San Diego Padres,0.242,0.333,0.379,0.712,0.32,0.455,0.505,0.96
ID663743,Nick Fortes,Miami Marlins,0.222,0.318,0.222,0.54,0.32,0.32,0.48,0.8
ID676391,Ernie Clement,Toronto Blue Jays,0.207,0.258,0.28,0.538,0.319,0.351,0.407,0.758
ID687515,Colby Thomas,Athletics,0.3,0.417,0.6,1.017,0.318,0.333,0.545,0.878
ID802415,Chandler Simpson,Tampa Bay Rays,0.321,0.367,0.375,0.742,0.318,0.338,0.424,0.762
ID676059,Jordan Westburg,Baltimore Orioles,0.271,0.283,0.424,0.707,0.317,0.349,0.585,0.934
ID665966,Carlos Narváez,Boston Red Sox,0.21,0.329,0.371,0.7,0.317,0.359,0.567,0.926
ID641555,J.C. Escarra,New York Yankees,0.214,0.389,0.286,0.675,0.316,0.381,0.579,0.96
ID621439,Byron Buxton,Minnesota Twins,0.269,0.33,0.487,0.817,0.314,0.364,0.786,1.15
ID502671,Paul Goldschmidt,New York Yankees,0.247,0.284,0.455,0.739,0.313,0.387,0.398,0.785
ID673490,Ha-Seong Kim,Tampa Bay Rays,0.214,0.267,0.214,0.481,0.312,0.45,0.562,1.012
ID669743,Alex Call,Washington Nationals,0.261,0.393,0.478,0.871,0.312,0.421,0.417,0.838
ID656537,Derek Hill,Miami Marlins,0.167,0.286,0.167,0.453,0.312,0.353,0.438,0.791
ID668800,Andrew Knizner,San Francisco Giants,0.2,0.2,0.8,1,0.312,0.421,0.312,0.733
ID592450,Aaron Judge,New York Yankees,0.291,0.406,0.605,1.011,0.311,0.447,0.711,1.158
ID681481,Kerry Carpenter,Detroit Tigers,0.219,0.25,0.315,0.565,0.31,0.333,0.549,0.882
ID647304,Josh Naylor,Arizona Diamondbacks,0.262,0.303,0.344,0.647,0.31,0.42,0.379,0.799
ID621043,Carlos Correa,Minnesota Twins,0.25,0.339,0.396,0.735,0.31,0.385,0.345,0.73
ID682668,Luisangel Acuña,New York Mets,0.161,0.25,0.226,0.476,0.31,0.356,0.357,0.713
ID660271,Shohei Ohtani,Los Angeles Dodgers,0.242,0.357,0.516,0.873,0.309,0.422,0.588,1.01
ID688363,Graham Pauley,Miami Marlins,0.233,0.303,0.3,0.603,0.308,0.471,0.538,1.009
ID518934,DJ LeMahieu,New York Yankees,0.286,0.348,0.333,0.681,0.308,0.308,0.462,0.77
ID680977,Brendan Donovan,St. Louis Cardinals,0.293,0.391,0.453,0.844,0.308,0.357,0.41,0.767
ID516782,Starling Marte,New York Mets,0.291,0.317,0.455,0.772,0.308,0.386,0.333,0.719
ID666126,Carlos Cortes,Athletics,0.35,0.381,0.7,1.081,0.308,0.308,0.385,0.693
ID518692,Freddie Freeman,Los Angeles Dodgers,0.238,0.33,0.429,0.759,0.307,0.364,0.557,0.921
